Index,Disease Name,Supplement Name,Supplement Image,Buy Link,Drug Description
10,Corn___healthy,Chế Phẩm Điều Hòa Cây Trồng LiTiUm (Chứa 99% Dinh Dưỡng),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Corn___healthy/Corn___healthy.png?raw=true,,"<i><b> Hiệu ứng: </b></i> Thuốc lithium được sử dụng để điều trị bệnh cây trồng, đặc biệt là bệnh cây trồng. Công dụng chính của Lithium là làm giảm các triệu chứng của bệnh cây, bao gồm các dấu hiệu như vàng lá, rụng lá sớm, cây yếu và tăng khả năng phục hồi của cây sau bệnh. Y học lithium có khả năng kiểm soát và ngăn chặn sự phát triển của vi khuẩn và nấm gây bệnh, giúp cây trồng khỏe mạnh hơn và tăng khả năng chống chịu với môi trường bệnh tật. Điều này giúp cây phát triển tốt hơn và có hiệu quả trong việc bảo vệ và duy trì sức khỏe cây trồng trong quá trình trồng và chăm sóc."
11,Corn___Northern_Leaf_Blight,Thuốc TriZon Được Phê Duyệt 98% (Trị Bệnh Phấn Trắng),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Corn___Northern_Leaf_Blight/Corn___Northern_Leaf_Blight.png?raw=true,,"<i><b> Hiệu quả: </b></i> TriZon là thuốc dùng để phòng và trị bệnh cho cây trồng. Thuốc này có các công dụng chính như sau: TriZon giúp tăng cường sức đề kháng của cây. Thành phần trong thuốc giúp kích thích hệ miễn dịch của cây và cung cấp dưỡng chất cần thiết để nâng cao khả năng chống lại các tác nhân gây bệnh. Giúp cây phục hồi sau khi bị bệnh. TriZon có khả năng hỗ trợ quá trình phục hồi và thúc đẩy tăng trưởng, giúp cây nhanh chóng trở lại trạng thái khỏe mạnh."
12,Grape___Black_rot,Thuốc ChaetoMium (Trị Thối Nhũn - Được Phê Duyệt 99%),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Grape___Black_rot/Grape___Black_rot.png?raw=true,,"<i><b> Hiệu quả: </b></i> ChaetoMium là thuốc dùng để trị bệnh cho cây trồng. Đây là loại thuốc có đặc tính kháng nấm và kháng khuẩn, giúp kiểm soát và ngăn ngừa sự phát triển của các tác nhân gây bệnh trên cây. Công dụng chính của ChaetoMium là giúp cây trở nên khỏe mạnh hơn và tăng khả năng chống chịu với môi trường có mầm bệnh. Thuốc có thể giúp giảm các triệu chứng bệnh trên cây như vàng lá, rụng lá sớm và cây bị suy yếu. ChaetoMium cũng có khả năng phục hồi cây sau khi bị bệnh và tăng cường sức đề kháng. Trong quá trình trồng và chăm sóc cây, việc sử dụng ChaetoMium có thể giúp bảo vệ và duy trì sự xanh tốt của cây. Đây là loại thuốc có tác dụng kháng khuẩn và kháng nấm mạnh, giúp ngăn ngừa sự phát triển và lây lan của các loại vi khuẩn nguy hiểm. Công dụng của ChaetoMium bao gồm: hỗ trợ giảm triệu chứng bệnh như đốm lá, gỉ sắt và các bệnh do vi khuẩn, nấm gây ra; tăng cường hệ miễn dịch, giúp cây chống lại sự tấn công của mầm bệnh; bảo vệ cây khỏi tổn thương và giúp cây phục hồi nhanh sau khi bị nhiễm bệnh. Để sử dụng ChaetoMium hiệu quả, cần làm theo đúng hướng dẫn sử dụng của nhà sản xuất. Ngoài ra, nên kết hợp ChaetoMium với các biện pháp chăm sóc và bảo vệ thực vật khác để đạt hiệu quả tốt nhất trong phòng trị bệnh cho cây trồng."
13,Grape___Esca_(Black_Measles),Thuốc Kháng Khuẩn LasTi (Trị Bệnh Cháy Lá - Được Phê Duyệt 100%),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Grape___Esca_(Black_Measles)/Grape___Esca_(Black_Measles).png?raw=true,,"<i><b> Hiệu ứng: </b></i> LasTi là một loại thuốc được sử dụng để điều trị bệnh trên cây. Dưới đây là mô tả về công dụng của LasTi: LasTi được sử dụng để ngăn ngừa và điều trị các bệnh thực vật như nhiễm trùng do vi khuẩn, nấm và vi rút. Thuốc này có đặc tính kháng khuẩn, kháng nấm, giúp ngăn chặn sự lây lan của dịch bệnh và giúp cây trồng phục hồi sức khỏe. LasTi cung cấp các chất dinh dưỡng và hormone thiết yếu cho cây trồng, giúp tăng cường quá trình sinh trưởng của chúng, bao gồm hoa trưởng thành, cành, lá và hoa."
14,Grape___healthy,Chế Phẩm Điều Hòa Cây Trồng AmiNo (Chứa 55% Dinh Dưỡng + 45% Protein),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Grape___healthy/Grape___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> AmiNo là thuốc dùng để cải thiện sức khỏe và thúc đẩy sự phát triển của cây trồng. Dưới đây là mô tả công dụng của AmiNo: cung cấp dưỡng chất thiết yếu cho cây, bao gồm axit amin, protein, vitamin và khoáng chất, giúp cây phát triển mạnh mẽ và khỏe mạnh. Thuốc giúp tăng cường hệ miễn dịch của cây, hỗ trợ cây chống lại mầm bệnh và sự tấn công của côn trùng, từ đó giúp cây khỏe mạnh và ít bị tổn hại."
15,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Thuốc Kháng Khuẩn LasTi (Trị Bệnh Cháy Lá - Được Phê Duyệt 100%),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/Grape___Leaf_blight_(Isariopsis_Leaf_Spot).png?raw=true,,"<i><b> Hiệu quả: </b></i> LasTi là thuốc dùng để trị các bệnh trên cây trồng. Dưới đây là mô tả công dụng của LasTi: Thuốc được sử dụng để phòng và trị các bệnh do vi khuẩn, nấm và virus gây ra. Thuốc có đặc tính kháng khuẩn và kháng nấm, giúp ngăn chặn sự lây lan của bệnh và hỗ trợ cây phục hồi sức khỏe. LasTi còn cung cấp các dưỡng chất thiết yếu và hormone cho cây, giúp thúc đẩy các quá trình sinh trưởng như phát triển hoa, cành, lá và nụ."
16,Orange___Haunglongbing_(Citrus_greening),Thuốc NuTi (Chứa 55% Dinh Dưỡng Hữu Cơ + 45% Protein),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Orange___Haunglongbing_(Citrus_greening)/Orange___Haunglongbing_(Citrus_greening).png?raw=true,,"<i><b> Hiệu quả: </b></i> NuTi là thuốc dùng để trị các bệnh trên cây trồng. Dưới đây là mô tả công dụng của NuTi: Thuốc được sử dụng để phòng và trị các bệnh do vi khuẩn, nấm và virus gây ra. Thuốc có đặc tính kháng khuẩn và kháng nấm, giúp ngăn chặn sự lây lan của bệnh và hỗ trợ cây phục hồi sức khỏe. NuTi giúp tăng cường hệ miễn dịch của cây, nâng cao khả năng chống lại mầm bệnh và sự tấn công của côn trùng. Nhờ vậy, cây khỏe mạnh hơn và ít bị tổn thương."
17,Peach___Bacterial_spot,Thuốc RyZen (Trị Đốm Vi Khuẩn - Được Phê Duyệt 99%),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Peach___Bacterial_spot/Peach___Bacterial_spot.png?raw=true,,"<i><b> Hiệu quả: </b></i> RyZen là thuốc dùng để trị bệnh cho cây trồng. Dưới đây là mô tả công dụng của RyZen: Thuốc được sử dụng để phòng và trị các bệnh do vi khuẩn, nấm và virus gây ra. Thuốc có đặc tính kháng khuẩn và kháng nấm, giúp ngăn chặn sự lây lan của bệnh và hỗ trợ cây phục hồi sức khỏe. RyZen giúp tăng cường hệ miễn dịch của cây, nâng cao khả năng chống lại mầm bệnh và sự tấn công của côn trùng. Nhờ đó, cây khỏe mạnh hơn và ít bị tổn thương."
18,Peach___healthy,Thuốc NuTi (Chứa 55% Dinh Dưỡng Hữu Cơ + 45% Protein),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Peach___healthy/Peach___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> NuTi là thuốc dùng để trị các bệnh trên cây trồng. Dưới đây là mô tả công dụng của NuTi: Thuốc được sử dụng để phòng và trị các bệnh do vi khuẩn, nấm và virus gây ra. Thuốc có đặc tính kháng khuẩn và kháng nấm, giúp ngăn chặn sự lây lan của bệnh và hỗ trợ cây phục hồi sức khỏe. NuTi giúp tăng cường hệ miễn dịch của cây, nâng cao khả năng chống lại mầm bệnh và sự tấn công của côn trùng. Nhờ vậy, cây khỏe mạnh hơn và ít bị tổn thương."
19,"Pepper,_bell___Bacterial_spot",Thuốc PhySa (Trị Đốm Vi Khuẩn - Được Phê Duyệt 97%),"https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Pepper,_bell___Bacterial_spot/Pepper,_bell___Bacterial_spot.png?raw=true",,"<i><b> Hiệu quả: </b></i> PhySa là thuốc dùng để trị và phòng bệnh cho cây trồng. Dưới đây là mô tả công dụng của PhySa: Thuốc được sử dụng để phòng và trị các bệnh do nấm, vi khuẩn và virus gây ra. PhySa có đặc tính kháng khuẩn, kháng nấm và kháng virus, giúp ngăn chặn sự lây lan của bệnh và hỗ trợ cây phục hồi sức khỏe. PhySa giúp tăng cường hệ miễn dịch của cây, nâng cao khả năng kháng lại mầm bệnh và sự tấn công của côn trùng, giúp cây khỏe mạnh hơn và giảm nguy cơ tổn thương. Thuốc còn cung cấp dưỡng chất và hormone thiết yếu cho cây, hỗ trợ quá trình phát triển của rễ, cành, lá và hoa. PhySa giúp cây chống lại các tác động tiêu cực từ môi trường như thiếu nước, đất mặn, nắng nóng hay lạnh. Thuốc này giúp cây tăng sức chịu đựng và sống tốt trong điều kiện khắc nghiệt. PhySa còn kích thích sự phát triển và tăng trưởng của cây, giúp cây lớn nhanh và to hơn. Ngoài ra, thuốc còn giúp nâng cao chất lượng nông sản, tăng kích thước, màu sắc, hương vị và kéo dài thời gian bảo quản sản phẩm."
20,"Pepper,_bell___healthy",NuTi + Siêu Lân (100% Dinh Dưỡng Hữu Cơ),"https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Pepper,_bell___healthy/Pepper,_bell___healthy.png?raw=true",,"<i><b> Hiệu quả: </b></i> NuTi + Super Phosphorus là thuốc dùng để trị và phòng bệnh cho cây trồng. Dưới đây là mô tả công dụng của NuTi + Super Phosphorus: Đây là thuốc chứa phốt pho – dưỡng chất quan trọng cho cây trồng. Phốt pho giúp cung cấp năng lượng cho quá trình sinh trưởng và phát triển, đồng thời thúc đẩy sự phát triển của hệ rễ. Thuốc còn cung cấp phốt pho – yếu tố quan trọng cho quá trình quang hợp. Quang hợp là quá trình cây sử dụng năng lượng mặt trời để chuyển đổi khí CO<sub>2</sub> và nước thành đường và oxy. Phốt pho giúp cân bằng quá trình này và nâng cao hiệu suất quang hợp của cây."
21,Potato___Early_blight,Thuốc SaLi (Trị Bệnh Cháy Lá - Được Phê Duyệt 99%),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Potato___Early_blight/Potato___Early_blight.png?raw=true,,"<i><b> Hiệu quả: </b></i> SaLi (Axit Salicylic) là thuốc dùng để điều trị các vấn đề liên quan đến bệnh cây trồng. Dưới đây là mô tả công dụng của thuốc SaLi: SaLi có khả năng tiêu diệt mầm bệnh và ngăn chặn sự phát triển của vi khuẩn, nấm và virus gây hại cho cây trồng. Điều này giúp làm giảm sự lây lan của bệnh và bảo vệ cây khỏi các tổn thương do mầm bệnh gây ra. SaLi cũng được sử dụng để điều trị các vấn đề về mụn trên cây, có khả năng làm sạch và loại bỏ mụn, góp phần cải thiện tình trạng sức khỏe của cây trồng."
22,Potato___healthy,Thuốc Alum - Được Phê Duyệt 98% (Trị Bệnh Sương Mai - Khoai Tây),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Potato___healthy/Potato___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> Thuốc Phèn Chua (Nhôm Kali Sunfat) là thuốc dùng để điều trị các vấn đề liên quan đến bệnh cây trồng. Dưới đây là mô tả công dụng của thuốc Phèn Chua trong bảo vệ cây trồng: Phèn Chua có khả năng kích thích sự phát triển của cây, cung cấp dưỡng chất cần thiết và tăng cường quang hợp, giúp cây phát triển khỏe mạnh hơn. Phèn Chua còn có hiệu quả trong việc chống lại sự tấn công của côn trùng gây hại, bằng cách ngăn chặn đường thức ăn và quá trình giao tiếp của chúng, từ đó giúp bảo vệ cây khỏi bị tổn thương."
23,Potato___Late_blight,Thuốc Alum - Được Phê Duyệt 98% (Trị Bệnh Sương Mai - Khoai Tây),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Potato___Late_blight/Potato___Late_blight.png?raw=true,,"<i><b> Hiệu quả: </b></i> Thuốc Phèn Chua (Nhôm Kali Sunfat) là thuốc dùng để điều trị các vấn đề liên quan đến bệnh cây trồng. Dưới đây là mô tả công dụng của thuốc Phèn Chua trong bảo vệ cây trồng: Phèn Chua có khả năng kích thích sự phát triển của cây, cung cấp dưỡng chất cần thiết và tăng cường quang hợp, giúp cây phát triển khỏe mạnh hơn. Phèn Chua còn có hiệu quả trong việc chống lại sự tấn công của côn trùng gây hại, bằng cách ngăn chặn đường thức ăn và quá trình giao tiếp của chúng, từ đó giúp bảo vệ cây khỏi bị tổn thương."
24,Raspberry___healthy,Thuốc RuVa - Cà Chua (Trị Bệnh Cháy Lá - Được Phê Duyệt 97%),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Raspberry___healthy/Raspberry___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> RuVa là thuốc dùng để điều trị các vấn đề liên quan đến bệnh cây trồng. Tuy nhiên, không có thông tin cụ thể về công dụng của thuốc RuVa được tìm thấy trong các kết quả tìm kiếm. Có thể RuVa là sản phẩm chưa được nghiên cứu và công nhận rộng rãi trong lĩnh vực bảo vệ thực vật. Để có thông tin chính xác và chi tiết hơn về công dụng của RuVa, bạn nên tìm hiểu từ các nguồn đáng tin cậy hoặc tham khảo ý kiến chuyên gia trong lĩnh vực này."
25,Soybean___healthy,"Thuốc Siêu Lân (100% Hữu Cơ, Dinh Dưỡng Thấp)",https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Soybean___healthy/Soybean___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> Super Phosphorus là phân bón chứa hàm lượng phốt pho cao, được sử dụng để cung cấp dưỡng chất cho cây trồng và cải thiện sự phát triển của cây. Dưới đây là mô tả công dụng của Super Phosphorus trong điều trị bệnh cây trồng: Super Phosphorus chứa lượng lớn phốt pho – một dưỡng chất quan trọng cho cây. Phốt pho giúp thúc đẩy sự phát triển, đặc biệt là phát triển bộ rễ. Ngoài ra, phốt pho còn cần thiết cho quá trình tổng hợp năng lượng và trao đổi chất trong cây. Nó còn giúp cây tăng khả năng chịu đựng các điều kiện khắc nghiệt như thiếu nước, hạn hán và lạnh giá."
26,Squash___Powdery_mildew,Thuốc InSect - Được Phê Duyệt 96% (Trị Bệnh Nấm Hoc - Dưa Gang),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Squash___Powdery_mildew/Squash___Powdery_mildew.png?raw=true,,"<i><b> Hiệu quả: </b></i> InSect là thuốc dùng để điều trị các vấn đề liên quan đến bệnh cây trồng. Dưới đây là mô tả công dụng của thuốc InSect: InSect có khả năng tiêu diệt và kiểm soát côn trùng gây hại như sâu, nhện, rệp và bọ cánh cứng. Thuốc giúp ngăn chặn sự phát triển của côn trùng và bảo vệ cây khỏi sự tàn phá của chúng. Ngoài ra, InSect còn có khả năng ngăn ngừa các bệnh nhiễm trùng do côn trùng gây ra. Thuốc giúp cây tránh khỏi vi khuẩn, nấm và virus gây bệnh, từ đó giúp cây phát triển khỏe mạnh hơn."
27,Strawberry___healthy,"Thuốc Siêu Lân (100% Hữu Cơ, Dinh Dưỡng Thấp)",https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Strawberry___healthy/Strawberry___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> Super Phosphorus là phân bón chứa hàm lượng phốt pho cao, được sử dụng để cung cấp dưỡng chất cho cây trồng và cải thiện sự phát triển của cây. Dưới đây là mô tả công dụng của Super Phosphorus trong điều trị bệnh cây trồng: Super Phosphorus chứa lượng lớn phốt pho – một dưỡng chất quan trọng cho cây. Phốt pho giúp thúc đẩy sự phát triển, đặc biệt là phát triển bộ rễ. Ngoài ra, phốt pho còn cần thiết cho quá trình tổng hợp năng lượng và trao đổi chất trong cây. Nó còn giúp cây tăng khả năng chịu đựng các điều kiện khắc nghiệt như thiếu nước, hạn hán và lạnh giá."
28,Strawberry___Leaf_scorch,Thuốc ChiToSan NaNo - Được Phê Duyệt 95% (Trị Cháy Lá - Dâu Tây),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Strawberry___Leaf_scorch/Strawberry___Leaf_scorch.png?raw=true,,"<i><b> Hiệu quả: </b></i> ChiToSan NaNo là thuốc dùng để điều trị các vấn đề liên quan đến bệnh cây trồng. Dưới đây là mô tả công dụng của ChiToSan NaNo: Thuốc có khả năng kháng vi khuẩn và nấm gây bệnh trên cây. Nó tạo một lớp màng bảo vệ trên bề mặt cây, ngăn chặn sự xâm nhập và phát triển của vi khuẩn, nấm có hại. ChiToSan NaNo còn có khả năng kích thích hệ miễn dịch của cây, giúp cây tăng sức đề kháng trước các mầm bệnh và sự tấn công từ vi khuẩn, nấm và côn trùng."
29,Tomato___Bacterial_spot,Thuốc Đạm Cá (100% Hàm Lượng Protein Dinh Dưỡng),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Tomato___Bacterial_spot/Tomato___Bacterial_spot.png?raw=true,,"<i><b> Hiệu quả: </b></i> Fish Protein là loại protein được chiết xuất từ cá. Công dụng chính của Fish Protein trong điều trị bệnh cây trồng là cung cấp dinh dưỡng và kích thích sự phát triển của cây. Thuốc giúp cây tăng khả năng hấp thụ dưỡng chất từ đất và nước, cải thiện quang hợp và tăng sức đề kháng với mầm bệnh. Ngoài ra, Fish Protein còn hỗ trợ sự phát triển của bộ rễ, tăng khả năng hút nước và chống chịu với các điều kiện môi trường khắc nghiệt như hạn hán, đất cằn và ô nhiễm."
30,Tomato___Early_blight,Thuốc RuVa - Cà Chua (Trị Bệnh Cháy Lá - Được Phê Duyệt 97%),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Tomato___Early_blight/Tomato___Early_blight.png?raw=true,,"<i><b> Hiệu quả: </b></i> RuVa là thuốc dùng để điều trị các vấn đề liên quan đến bệnh cây trồng. Tuy nhiên, không có thông tin cụ thể về công dụng của thuốc RuVa được tìm thấy trong các kết quả tìm kiếm. Có thể RuVa là sản phẩm chưa được nghiên cứu và công nhận rộng rãi trong lĩnh vực bảo vệ thực vật. Để có thông tin chính xác và chi tiết hơn về công dụng của RuVa, bạn nên tìm hiểu từ các nguồn đáng tin cậy hoặc tham khảo ý kiến chuyên gia trong lĩnh vực này."
31,Tomato___healthy,Thuốc Đạm Cá (100% Hàm Lượng Protein Dinh Dưỡng),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Tomato___healthy/Tomato___healthy.png?raw=true,,"<i><b> Hiệu quả: </b></i> Fish Protein là loại protein được chiết xuất từ cá. Công dụng chính của Fish Protein trong điều trị bệnh cây trồng là cung cấp dinh dưỡng và kích thích sự phát triển của cây. Thuốc giúp cây tăng khả năng hấp thụ dưỡng chất từ đất và nước, cải thiện quang hợp và tăng sức đề kháng với mầm bệnh. Ngoài ra, Fish Protein còn hỗ trợ sự phát triển của bộ rễ, tăng khả năng hút nước và chống chịu với các điều kiện môi trường khắc nghiệt như hạn hán, đất bạc màu và ô nhiễm."
32,Tomato___Late_blight,Thuốc TiKa - Đốm Lá Cà Chua (Sương Sớm + Được Phê Duyệt 97%),https://github.com/sorimachi-tech/contest/blob/main/MEDICINE/Tomato___Late_blight/Tomato___Late_blight.png?raw=true,,"<i><b> Hiệu quả: </b></i> Thuốc TiKa là thuốc dùng để điều trị các bệnh cây trồng. Công dụng chính của TiKa là kháng khuẩn và kháng nấm, giúp tiêu diệt mầm bệnh và bảo vệ cây khỏi sự tấn công của vi khuẩn và nấm."
